"时间","Pitch_Moment Monitor: Pitch_Moment Monitor (N-m)"
1.0E-4,-6362876.790858828
2.0E-4,-7112455.654134613
3.0000000000000003E-4,-6858225.534582755
4.0E-4,-6638040.108360867
5.0E-4,-6564724.0394540345
6.000000000000001E-4,-6525601.979290031
7.000000000000001E-4,-6435703.637997719
8.000000000000001E-4,-6331269.785300965
9.000000000000002E-4,-6272100.221842538
0.0010000000000000002,-6247054.443480725
0.0011000000000000003,-6189585.957199399
0.0012000000000000003,-6052393.873477945
0.0013000000000000004,-5852038.024848066
0.0014000000000000004,-5642560.209810275
0.0015000000000000005,-5468284.707083624
0.0016000000000000005,-5342844.926011213
0.0017000000000000006,-5254705.711544553
0.0018000000000000006,-5181623.096695503
0.0019000000000000006,-5102713.044772158
0.0020000000000000005,-5005105.454468002
0.0021000000000000003,-4886384.244291375
0.0022,-4753114.989740419
0.0023,-4616027.526367196
0.0024,-4484515.750927189
0.0024999999999999996,-4363403.420379062
0.0025999999999999994,-4252984.129472266
0.0026999999999999993,-4150326.099685349
0.002799999999999999,-4051037.3060011254
0.002899999999999999,-3950684.080371383
0.0029999999999999988,-3846284.7314280095
0.0030999999999999986,-3736911.0001309505
0.0031999999999999984,-3623504.3507823907
0.0032999999999999982,-3508170.6330030025
0.003399999999999998,-3393380.8110998035
0.003499999999999998,-3281412.3724901285
0.0035999999999999977,-3173999.7740871375
0.0036999999999999976,-3071932.172081572
0.0037999999999999974,-2975102.8128039693
0.0038999999999999972,-2882652.754023828
0.0039999999999999975,-2793177.0789605686
0.004099999999999998,-2705178.5714045656
0.004199999999999998,-2617399.7825086615
0.004299999999999998,-2529080.370740493
0.0043999999999999985,-2440008.579042171
0.004499999999999999,-2350266.0219488586
0.004599999999999999,-2260443.2064982904
0.004699999999999999,-2171718.637280039
0.0048,-2085718.1087715745
0.0049,-2004700.6833845247
0.005,-1930129.0481983344
0.0051,-1861693.1883957458
0.005200000000000001,-1800545.9721111176
0.005300000000000001,-1745356.779808863
0.005400000000000001,-1694313.2663229166
0.005500000000000001,-1646958.1715314426
0.005600000000000002,-1601166.9266696668
0.005700000000000002,-1554967.8466421815
0.005800000000000002,-1509221.7538364136
0.0059000000000000025,-1463434.8075911913
0.006000000000000003,-1418164.5482066097
0.006100000000000003,-1374331.6515152638
0.006200000000000003,-1332816.0834897703
0.0063000000000000035,-1293920.4253708445
0.006400000000000004,-1258444.4818706475
0.006500000000000004,-1226227.3929107897
0.006600000000000004,-1197106.92521011
0.0067000000000000046,-1170869.2208517578
0.006800000000000005,-1147392.757701497
0.006900000000000005,-1126488.8521206533
0.007000000000000005,-1107947.0654083223
0.007100000000000006,-1091547.0246521141
0.007200000000000006,-1077004.0377769687
0.007300000000000006,-1063849.0918001104
