"时间","Pitch_Moment Monitor: Pitch_Moment Monitor (N-m)"
1.0E-4,-6362702.322353729
2.0E-4,-7112054.499792303
3.0000000000000003E-4,-6857714.137540392
4.0E-4,-6637462.615482273
5.0E-4,-6564137.477879316
6.000000000000001E-4,-6525021.4315296635
7.000000000000001E-4,-6435103.936197431
8.000000000000001E-4,-6330595.2177226525
9.000000000000002E-4,-6271284.748256058
0.0010000000000000002,-6246027.0184053
0.0011000000000000003,-6188280.007989342
0.0012000000000000003,-6050768.169200475
0.0013000000000000004,-5850100.434916898
0.0014000000000000004,-5640374.077930296
0.0015000000000000005,-5465952.168260414
0.0016000000000000005,-5340467.452424345
0.0017000000000000006,-5252345.742383464
0.0018000000000000006,-5179286.932388936
0.0019000000000000006,-5100356.750401528
0.0020000000000000005,-5002658.005043037
0.0021000000000000003,-4883775.219380519
0.0022,-4750292.675724535
0.0023,-4612968.842513545
0.0024,-4481230.4238272235
0.0024999999999999996,-4359929.866321885
0.0025999999999999994,-4249375.382578694
0.0026999999999999993,-4146633.535544337
0.002799999999999999,-4047301.335910412
0.002899999999999999,-3946925.9249837175
0.0029999999999999988,-3842503.2684554006
0.0030999999999999986,-3733085.611394775
0.0031999999999999984,-3619603.9951327336
0.0032999999999999982,-3504162.8937857603
0.003399999999999998,-3389243.4234442194
0.003499999999999998,-3277140.837831629
0.0035999999999999977,-3169608.310348559
0.0036999999999999976,-3067449.952587816
0.0037999999999999974,-2970567.360244238
0.0038999999999999972,-2878101.8377789264
0.0039999999999999975,-2788641.0338707548
0.004099999999999998,-2700673.584427438
0.004199999999999998,-2612925.5700915805
0.004299999999999998,-2524624.1479496476
0.0043999999999999985,-2435545.4193153824
0.004499999999999999,-2345768.983806951
0.004599999999999999,-2255886.9549960545
0.004699999999999999,-2167087.4391960152
0.0048,-2081007.8252101955
0.0049,-1999923.3209339431
0.005,-1925303.3646843059
0.0051,-1856839.2021740116
0.005200000000000001,-1795678.9896942377
0.005300000000000001,-1740484.1504270073
0.005400000000000001,-1689430.8070501415
0.005500000000000001,-1642049.5231263123
